"","sdg_num","id","G20","LDCs and SIDS","Rest of World"
"1","SDG 1",1,0.119531579034735,0.274006106189904,0.202240671634837
"2","SDG 2",2,0.0860430981105101,0.204469892096312,0.149056061521338
"3","SDG 3",3,0.0479646062879512,0.132489711600666,0.0900319843597011
"4","SDG 4",4,0.0212542497807253,0.0461388200401846,0.0315172997281992
"5","SDG 5",5,0.0646221211842611,0.137566105059622,0.095564906703314
"6","SDG 6",6,0.0524832614326318,0.173948426904914,0.13224340683804
"7","SDG 7",7,1,1,1
"8","SDG 8",8,0.252465416846946,0.257498170109718,0.248679654515215
"9","SDG 9",9,0.250070633669636,0.272592947695708,0.220335884991887
"10","SDG 10",10,0.106294769153631,0.1372276943241,0.106530681961981
"11","SDG 11",11,0.428498061284369,0.807110824137348,0.591945824888339
"12","SDG 12",12,0.161717589049878,0.263677850075859,0.218919379041619
"13","SDG 13",13,0,0,0
"14","SDG 14",14,0.032228049471677,0.104374004642091,0.0501110694034877
"15","SDG 15",15,0.296197436445786,0.46109040468171,0.46184982457898
"16","SDG 16",16,0.181857952851324,0.20821098065132,0.204140971292004
"17","SDG 17",17,0.0362898054720103,0.044492634098491,0.0277306193041564
